IPK,Sertifikasi,Sertifikasi Professional,Prestasi Nasional,Kompetisi Top 3 Nasional,Prestasi Internasional,Kompetisi Top 3 Internasional,Intern,Volunteer,Beasiswa,Nilai Bobot,Rank
3.84,0,0,3,1,0,0,5,38,Beasiswa Baznas,0.2598439896,6418
3.71,0,0,2,1,0,0,25,53,Beasiswa Baznas,0.3252951833,3654
3.79,0,1,0,2,0,0,16,27,Beasiswa Baznas,0.2424142854,7153
3.8,0,1,3,1,0,0,14,48,Beasiswa Baznas,0.2994687062,4726
3.77,0,0,3,1,0,0,26,47,Beasiswa Baznas,0.317477552,3964
3.55,0,0,2,2,0,0,31,46,Beasiswa Baznas,0.3167253524,3995
3.92,0,1,0,2,0,0,18,27,Beasiswa Baznas,0.2588941545,6458
3.75,0,1,1,2,0,0,5,31,Beasiswa Baznas,0.2316433901,7645
3.16,0,1,3,1,0,0,21,40,Beasiswa Baznas,0.2551462275,6613
3.04,0,1,0,1,0,0,30,48,Beasiswa Baznas,0.2950398973,4916
3.19,0,0,1,2,0,0,22,25,Beasiswa Baznas,0.2101807133,8856
3.05,0,0,3,0,0,0,14,22,Beasiswa Baznas,0.1634204306,11868
3.54,0,0,1,2,0,0,15,41,Beasiswa Baznas,0.2612527193,6356
3.43,0,1,3,1,0,0,16,53,Beasiswa Baznas,0.2973867629,4823
3.94,0,0,3,1,0,0,13,27,Beasiswa Baznas,0.2514557583,6766
3.69,0,0,0,1,0,0,11,34,Beasiswa Baznas,0.2381561344,7345
3.19,0,1,3,1,0,0,30,32,Beasiswa Baznas,0.2613574902,6351
3.52,0,1,0,1,0,0,40,39,Beasiswa Baznas,0.3189172011,3902
3.17,0,1,3,0,0,0,10,22,Beasiswa Baznas,0.1592917858,12087
3.06,0,0,3,1,0,0,20,23,Beasiswa Baznas,0.1918076982,10141
3.28,0,0,2,0,0,0,41,44,Beasiswa Baznas,0.3231088379,3734
3.55,0,1,0,1,0,0,15,27,Beasiswa Baznas,0.2152117955,8555
3.47,0,1,1,1,0,0,40,44,Beasiswa Baznas,0.3293258015,3485
3.43,0,0,0,2,0,0,17,28,Beasiswa Baznas,0.2162895446,8481
3.76,0,1,2,0,0,0,39,26,Beasiswa Baznas,0.3034851729,4555
4,0,1,3,0,0,0,12,48,Beasiswa Baznas,0.307012231,4398
3.45,0,0,2,0,0,0,20,27,Beasiswa Baznas,0.2216126752,8192
3.69,0,0,1,1,0,0,13,43,Beasiswa Baznas,0.2703840339,5970
3.09,0,0,0,2,0,0,17,48,Beasiswa Baznas,0.265845495,6153
3.32,0,1,0,0,0,0,2,31,Beasiswa Baznas,0.1849000551,10603
3.57,0,1,0,0,0,0,34,41,Beasiswa Baznas,0.3055753016,4457
3.55,0,1,0,0,0,0,3,53,Beasiswa Baznas,0.2780798671,5659
3.84,0,1,3,1,0,0,14,26,Beasiswa Baznas,0.2427412471,7130
3.06,0,1,3,2,0,0,4,39,Beasiswa Baznas,0.216396502,8476
3.34,0,0,0,2,0,0,18,48,Beasiswa Baznas,0.277552528,5679
3.26,0,0,0,1,0,0,30,36,Beasiswa Baznas,0.2677229134,6070
3.8,0,1,1,2,0,0,42,29,Beasiswa Baznas,0.3241039052,3699
3.12,0,0,2,0,0,0,3,40,Beasiswa Baznas,0.2123299547,8727
3.93,0,0,0,2,0,0,17,30,Beasiswa Baznas,0.2632551461,6261
3.4,0,0,0,0,0,0,14,37,Beasiswa Baznas,0.2300949112,7725
3.95,0,1,3,0,0,0,39,39,Beasiswa Baznas,0.3403443526,3108
3.85,0,0,3,2,0,0,6,52,Beasiswa Baznas,0.3050740994,4483
3.61,0,0,3,1,0,0,32,30,Beasiswa Baznas,0.2834388712,5431
3.1,0,1,2,1,0,0,30,44,Beasiswa Baznas,0.2888582782,5188
3.67,0,1,2,0,0,0,19,30,Beasiswa Baznas,0.2451002878,7033
3.78,0,1,0,2,0,0,15,35,Beasiswa Baznas,0.2605622451,6385
3.88,0,1,2,1,0,0,10,48,Beasiswa Baznas,0.2965125011,4862
3.24,0,0,0,0,0,0,19,25,Beasiswa Baznas,0.1948577655,9918
3.95,0,1,0,2,0,0,39,24,Beasiswa Baznas,0.3139085583,4112
3.01,0,0,1,0,0,0,31,20,Beasiswa Baznas,0.2221640739,8157
3.18,0,1,3,1,0,0,36,33,Beasiswa Baznas,0.2846579049,5375
3.32,0,1,3,1,0,0,12,38,Beasiswa Baznas,0.2340601951,7541
3.17,0,1,3,2,0,0,26,49,Beasiswa Baznas,0.3000748538,4705
3.88,0,0,2,2,0,0,16,41,Beasiswa Baznas,0.2887393506,5195
3.99,0,1,0,2,0,0,38,34,Beasiswa Baznas,0.3307707855,3427
3.32,0,1,3,2,0,0,33,36,Beasiswa Baznas,0.2904799622,5105
3.3,0,1,3,1,0,0,30,44,Beasiswa Baznas,0.298118672,4780
3.11,0,1,2,2,0,0,32,33,Beasiswa Baznas,0.2690449814,6021
3.74,0,0,1,2,0,0,22,44,Beasiswa Baznas,0.297856326,4795
3.07,0,0,1,1,0,0,24,49,Beasiswa Baznas,0.2832009848,5438
3.47,0,1,2,0,0,0,12,38,Beasiswa Baznas,0.2384356441,7329
3,0,1,0,0,0,0,14,22,Beasiswa Baznas,0.1553520092,12276
3.23,0,0,3,2,0,0,20,47,Beasiswa Baznas,0.2800013255,5581
3.86,0,0,2,2,0,0,11,23,Beasiswa Baznas,0.2311275519,7675
3.82,0,0,2,1,0,0,35,36,Beasiswa Baznas,0.3155473245,4051
3.58,0,1,3,2,0,0,34,43,Beasiswa Baznas,0.322541902,3761
3.71,0,0,2,0,0,0,31,23,Beasiswa Baznas,0.2674537879,6083
3.31,0,1,0,1,0,0,31,39,Beasiswa Baznas,0.282270149,5475
3.07,0,1,0,2,0,0,36,25,Beasiswa Baznas,0.2607099076,6376
3.76,0,0,0,1,0,0,38,23,Beasiswa Baznas,0.293042924,4997
3.46,0,1,1,1,0,0,25,45,Beasiswa Baznas,0.290268679,5115
3.71,0,0,0,2,0,0,21,29,Beasiswa Baznas,0.2521217596,6741
3.37,0,0,1,0,0,0,36,22,Beasiswa Baznas,0.2613733446,6350
3.59,0,0,3,1,0,0,15,25,Beasiswa Baznas,0.2179330358,8387
3.22,0,1,0,2,0,0,18,55,Beasiswa Baznas,0.2963788309,4871
3.4,0,0,0,2,0,0,5,46,Beasiswa Baznas,0.2525776684,6723
3.25,0,0,3,0,0,0,21,29,Beasiswa Baznas,0.2206592976,8238
3.05,0,0,2,2,0,0,38,55,Beasiswa Baznas,0.3400512807,3118
3.92,0,1,2,0,0,0,34,30,Beasiswa Baznas,0.3055854568,4455
3.84,0,0,0,2,0,0,41,47,Beasiswa Baznas,0.3544126929,2695
3.5,0,0,3,2,0,0,23,53,Beasiswa Baznas,0.3163745005,4010
3.93,0,0,1,2,0,0,12,42,Beasiswa Baznas,0.2863635494,5293
3.35,0,0,0,1,0,0,35,33,Beasiswa Baznas,0.2808913509,5543
3.23,0,1,0,1,0,0,38,36,Beasiswa Baznas,0.2944576653,4943
3.51,0,1,1,0,0,0,40,22,Beasiswa Baznas,0.2845274644,5379
3.23,0,0,2,2,0,0,16,36,Beasiswa Baznas,0.2308897085,7685
3.86,0,0,2,2,0,0,3,54,Beasiswa Baznas,0.30636492,4425
3.92,0,1,2,2,0,0,32,32,Beasiswa Baznas,0.3097575234,4286
3.54,0,0,3,1,0,0,32,38,Beasiswa Baznas,0.2981124521,4781
3.78,0,0,1,1,0,0,14,39,Beasiswa Baznas,0.2668912696,6106
3.18,0,1,2,0,0,0,30,36,Beasiswa Baznas,0.2667673895,6113
3.06,0,1,1,1,0,0,11,24,Beasiswa Baznas,0.1594374973,12081
3.96,0,1,0,0,0,0,42,34,Beasiswa Baznas,0.3340634861,3318
3.75,0,0,0,2,0,0,13,49,Beasiswa Baznas,0.2937125577,4970
3.01,0,0,0,0,0,0,40,45,Beasiswa Baznas,0.3116561601,4205
3.83,0,0,3,0,0,0,27,37,Beasiswa Baznas,0.2963415254,4872
3.89,0,0,3,1,0,0,11,53,Beasiswa Baznas,0.3132039032,4138
3.26,0,0,2,0,0,0,7,55,Beasiswa Baznas,0.2772829956,5689
3.04,0,1,0,1,0,0,32,20,Beasiswa Baznas,0.2295231356,7762
3.83,0,0,3,0,0,0,37,53,Beasiswa Baznas,0.3567062445,2638
3.24,0,1,2,0,0,0,27,40,Beasiswa Baznas,0.2708110409,5953
3.85,0,1,1,2,0,0,41,35,Beasiswa Baznas,0.3346978533,3297
3.79,0,1,0,2,0,0,25,27,Beasiswa Baznas,0.2663479171,6133
3.11,0,0,0,1,0,0,22,21,Beasiswa Baznas,0.1899660137,10267
3.19,0,0,3,2,0,0,38,50,Beasiswa Baznas,0.3338540253,3325
3.03,0,1,1,2,0,0,43,32,Beasiswa Baznas,0.3017560012,4633
3.89,0,0,0,1,0,0,15,24,Beasiswa Baznas,0.2380519776,7352
3.61,0,1,0,2,0,0,4,43,Beasiswa Baznas,0.2555555446,6599
3.39,0,0,1,0,0,0,37,27,Beasiswa Baznas,0.2757691491,5741
3.72,0,1,2,0,0,0,42,34,Beasiswa Baznas,0.3250368023,3667
3.57,0,1,0,2,0,0,34,25,Beasiswa Baznas,0.2760424146,5734
3.23,0,1,3,2,0,0,19,50,Beasiswa Baznas,0.288705915,5197
3.2,0,1,1,0,0,0,14,23,Beasiswa Baznas,0.1711925428,11439
3.16,0,1,3,0,0,0,35,27,Beasiswa Baznas,0.2641569463,6227
3.29,0,1,1,0,0,0,42,28,Beasiswa Baznas,0.2927534429,5006
3.76,0,0,3,0,0,0,38,37,Beasiswa Baznas,0.3221736676,3777
3.75,0,1,1,0,0,0,10,33,Beasiswa Baznas,0.2389062627,7310
3.05,0,0,3,2,0,0,28,33,Beasiswa Baznas,0.2540799039,6656
3.26,0,1,1,1,0,0,34,50,Beasiswa Baznas,0.3193793653,3882
3.26,0,0,0,0,0,0,40,29,Beasiswa Baznas,0.2837067424,5420
3.88,0,1,2,0,0,0,34,20,Beasiswa Baznas,0.2852844201,5345
3,0,1,0,1,0,0,20,39,Beasiswa Baznas,0.237758699,7368
3.65,0,0,0,1,0,0,9,33,Beasiswa Baznas,0.2283305722,7824
3.37,0,0,1,1,0,0,17,20,Beasiswa Baznas,0.1860202456,10519
3.8,0,0,2,1,0,0,39,42,Beasiswa Baznas,0.3377645372,3194
3.57,0,0,0,0,0,0,43,31,Beasiswa Baznas,0.310663606,4248
3.4,0,1,3,0,0,0,18,34,Beasiswa Baznas,0.2371982425,7396
3.06,0,0,3,1,0,0,25,26,Beasiswa Baznas,0.2202244438,8261
3.04,0,0,2,1,0,0,18,20,Beasiswa Baznas,0.1705887792,11477
3.31,0,0,0,1,0,0,42,55,Beasiswa Baznas,0.3503641447,2789
3.52,0,0,0,1,0,0,41,38,Beasiswa Baznas,0.318474681,3920
3.62,0,0,1,0,0,0,42,50,Beasiswa Baznas,0.3493493994,2838
3.45,0,1,3,2,0,0,21,41,Beasiswa Baznas,0.2754481542,5755
3.1,0,1,1,2,0,0,3,27,Beasiswa Baznas,0.1622263299,11927
3.48,0,0,2,0,0,0,14,39,Beasiswa Baznas,0.2451613587,7030
3.99,0,1,2,2,0,0,26,29,Beasiswa Baznas,0.2924607906,5019
3.3,0,0,2,1,0,0,33,37,Beasiswa Baznas,0.2852033236,5351
3.84,0,1,2,0,0,0,32,53,Beasiswa Baznas,0.3454164707,2942
3.02,0,0,1,1,0,0,27,53,Beasiswa Baznas,0.3013658885,4645
3.95,0,0,2,0,0,0,9,55,Beasiswa Baznas,0.3150388247,4069
3.28,0,0,0,2,0,0,7,43,Beasiswa Baznas,0.2378769236,7363
3.58,0,1,0,1,0,0,22,30,Beasiswa Baznas,0.2456226385,7006
3.7,0,0,2,0,0,0,5,40,Beasiswa Baznas,0.2500491656,6830
3.1,0,1,1,1,0,0,23,39,Beasiswa Baznas,0.2510407802,6782
3.31,0,0,1,1,0,0,11,36,Beasiswa Baznas,0.2184020625,8365
3.2,0,1,0,0,0,0,16,29,Beasiswa Baznas,0.1969357142,9766
3.52,0,0,1,2,0,0,36,54,Beasiswa Baznas,0.3455284914,2938
3.42,0,0,2,2,0,0,34,22,Beasiswa Baznas,0.2637690277,6243
3.67,0,0,2,1,0,0,30,34,Beasiswa Baznas,0.2876997628,5242
3.96,0,1,1,2,0,0,32,40,Beasiswa Baznas,0.327104171,3568
3.31,0,0,1,2,0,0,19,23,Beasiswa Baznas,0.200630662,9496
3.86,0,0,2,1,0,0,16,33,Beasiswa Baznas,0.2627632819,6288
3.56,0,1,2,2,0,0,22,29,Beasiswa Baznas,0.2483167188,6883
3.34,0,1,1,0,0,0,43,28,Beasiswa Baznas,0.2981832095,4777
3.69,0,1,3,0,0,0,41,54,Beasiswa Baznas,0.3634167889,2488
3.72,0,1,0,0,0,0,10,55,Beasiswa Baznas,0.3008474198,4669
3.59,0,1,1,0,0,0,22,22,Beasiswa Baznas,0.2254218363,7980
3.78,0,1,0,2,0,0,24,40,Beasiswa Baznas,0.294304348,4950
3.4,0,0,0,1,0,0,10,46,Beasiswa Baznas,0.2558983066,6584
3.1,0,0,3,1,0,0,19,40,Beasiswa Baznas,0.2462053405,6981
3.31,0,1,2,1,0,0,8,53,Beasiswa Baznas,0.2773850358,5681
3.48,0,0,2,1,0,0,23,49,Beasiswa Baznas,0.298504787,4761
3.86,0,0,3,0,0,0,10,23,Beasiswa Baznas,0.2262715703,7928
3.8,0,0,2,0,0,0,24,27,Beasiswa Baznas,0.2607287938,6375
3.78,0,1,3,2,0,0,22,49,Beasiswa Baznas,0.3192332287,3890
3.55,0,0,1,2,0,0,36,50,Beasiswa Baznas,0.3373758303,3206
3.72,0,0,1,1,0,0,24,52,Beasiswa Baznas,0.3191935323,3892
3.29,0,1,2,1,0,0,35,37,Beasiswa Baznas,0.2926234091,5012
3.77,0,0,1,2,0,0,28,41,Beasiswa Baznas,0.3064007038,4423
3.44,0,0,1,0,0,0,22,40,Beasiswa Baznas,0.2630030081,6276
3.49,0,0,2,2,0,0,2,41,Beasiswa Baznas,0.2410985494,7211
3.58,0,0,0,0,0,0,39,29,Beasiswa Baznas,0.2944587794,4942
3.24,0,1,2,1,0,0,18,49,Beasiswa Baznas,0.2781177961,5657
3.92,0,1,1,0,0,0,19,32,Beasiswa Baznas,0.2687345217,6039
3.05,0,1,0,2,0,0,16,23,Beasiswa Baznas,0.1744836612,11231
3.42,0,0,3,1,0,0,9,46,Beasiswa Baznas,0.2611856438,6358
3.57,0,1,1,1,0,0,42,45,Beasiswa Baznas,0.3410489712,3095
3.9,0,1,2,0,0,0,18,30,Beasiswa Baznas,0.2618719601,6331
3.08,0,1,2,1,0,0,12,29,Beasiswa Baznas,0.1850735684,10590
3.6,0,0,3,1,0,0,23,53,Beasiswa Baznas,0.3178386573,3951
3.06,0,1,0,0,0,0,33,32,Beasiswa Baznas,0.2595112684,6427
3.53,0,1,1,1,0,0,38,26,Beasiswa Baznas,0.2880751019,5222
